----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 24, 224, 224]             864
       BatchNorm2d-2         [-1, 24, 224, 224]              48
              ReLU-3         [-1, 24, 224, 224]               0
            Conv2d-4         [-1, 12, 224, 224]           2,592
         OSAModule-5         [-1, 12, 224, 224]               0
       BatchNorm2d-6         [-1, 12, 224, 224]              24
              ReLU-7         [-1, 12, 224, 224]               0
            Conv2d-8         [-1, 12, 224, 224]           1,296
         OSAModule-9         [-1, 12, 224, 224]               0
      BatchNorm2d-10         [-1, 12, 224, 224]              24
             ReLU-11         [-1, 12, 224, 224]               0
           Conv2d-12         [-1, 12, 224, 224]           1,296
        OSAModule-13         [-1, 12, 224, 224]               0
      BatchNorm2d-14         [-1, 12, 224, 224]              24
             ReLU-15         [-1, 12, 224, 224]               0
           Conv2d-16         [-1, 12, 224, 224]           1,296
        OSAModule-17         [-1, 12, 224, 224]               0
      BatchNorm2d-18         [-1, 12, 224, 224]              24
             ReLU-19         [-1, 12, 224, 224]               0
           Conv2d-20         [-1, 12, 224, 224]           1,296
        OSAModule-21         [-1, 12, 224, 224]               0
      BatchNorm2d-22         [-1, 12, 224, 224]              24
             ReLU-23         [-1, 12, 224, 224]               0
           Conv2d-24         [-1, 12, 224, 224]           1,296
        OSAModule-25         [-1, 12, 224, 224]               0
      BatchNorm2d-26         [-1, 12, 224, 224]              24
             ReLU-27         [-1, 12, 224, 224]               0
           Conv2d-28         [-1, 12, 224, 224]           1,296
        OSAModule-29         [-1, 12, 224, 224]               0
         OSABlock-30         [-1, 84, 224, 224]               0
          Flatten-31                   [-1, 84]               0
           Linear-32                   [-1, 10]             850
             ReLU-33                   [-1, 10]               0
           Linear-34                   [-1, 84]             924
          Flatten-35                   [-1, 84]               0
           Linear-36                   [-1, 10]             850
             ReLU-37                   [-1, 10]               0
           Linear-38                   [-1, 84]             924
      ChannelGate-39         [-1, 84, 224, 224]               0
      ChannelPool-40          [-1, 2, 224, 224]               0
           Conv2d-41          [-1, 1, 224, 224]              98
      BatchNorm2d-42          [-1, 1, 224, 224]               2
        BasicConv-43          [-1, 1, 224, 224]               0
      SpatialGate-44         [-1, 84, 224, 224]               0
